Parent_Location,Region,Topic,Popularity
worldwide,Hong Kong,global_warming,10.0
worldwide,St Helena,global_warming,0.0
worldwide,Luxembourg,global_warming,0.0
worldwide,Lebanon,global_warming,0.0
worldwide,Georgia,global_warming,0.0
worldwide,Gambia,global_warming,0.0
worldwide,Malaysia,global_warming,9.0
worldwide,Palestine,global_warming,0.0
worldwide,Moldova,global_warming,0.0
worldwide,Guyana,global_warming,0.0
worldwide,Kyrgyzstan,global_warming,0.0
worldwide,Switzerland,global_warming,9.0
worldwide,Sudan,global_warming,0.0
worldwide,Namibia,global_warming,0.0
worldwide,United Arab Emirates,global_warming,9.0
worldwide,Laos,global_warming,0.0
worldwide,Turkmenistan,global_warming,0.0
worldwide,Eswatini,global_warming,0.0
worldwide,South Sudan,global_warming,0.0
worldwide,Egypt,global_warming,8.0
worldwide,St Vincent & the Grenadines,global_warming,0.0
worldwide,Malawi,global_warming,0.0
worldwide,Botswana,global_warming,0.0
worldwide,Libya,global_warming,0.0
worldwide,Latvia,global_warming,0.0
worldwide,Andorra,global_warming,0.0
worldwide,Israel,global_warming,7.0
worldwide,Zambia,global_warming,0.0
worldwide,Kuwait,global_warming,0.0
worldwide,Bangladesh,global_warming,7.0
worldwide,Liechtenstein,global_warming,0.0
worldwide,Nepal,global_warming,0.0
worldwide,Maldives,global_warming,0.0
worldwide,Liberia,global_warming,0.0
worldwide,Uganda,global_warming,0.0
worldwide,Saudi Arabia,global_warming,7.0
worldwide,Czechia,global_warming,7.0
worldwide,Spain,global_warming,6.0
worldwide,Dominica,global_warming,0.0
worldwide,Seychelles,global_warming,0.0
worldwide,Kosovo,global_warming,0.0
worldwide,Cyprus,global_warming,0.0
worldwide,Germany,global_warming,6.0
worldwide,Afghanistan,global_warming,0.0
worldwide,Slovakia,global_warming,0.0
worldwide,Azerbaijan,global_warming,0.0
worldwide,Suriname,global_warming,0.0
worldwide,Hungary,global_warming,6.0
worldwide,Syria,global_warming,0.0
worldwide,South Africa,global_warming,6.0
worldwide,Estonia,global_warming,0.0
worldwide,Austria,global_warming,6.0
worldwide,Tajikistan,global_warming,0.0
worldwide,Ghana,global_warming,0.0
worldwide,Italy,global_warming,5.0
worldwide,India,global_warming,5.0
worldwide,Jamaica,global_warming,0.0
worldwide,Romania,global_warming,5.0
worldwide,Armenia,global_warming,0.0
worldwide,Iceland,global_warming,0.0
worldwide,Montenegro,global_warming,0.0
worldwide,Sweden,global_warming,5.0
worldwide,Aruba,global_warming,0.0
worldwide,Qatar,global_warming,0.0
worldwide,Belarus,global_warming,0.0
worldwide,Brunei,global_warming,0.0
worldwide,Somalia,global_warming,0.0
worldwide,North Macedonia,global_warming,0.0
worldwide,Yemen,global_warming,0.0
worldwide,Lithuania,global_warming,0.0
worldwide,Myanmar (Burma),global_warming,0.0
worldwide,Turks & Caicos Islands,global_warming,0.0
worldwide,Canada,global_warming,4.0
worldwide,Monaco,global_warming,0.0
worldwide,Northern Mariana Islands,global_warming,0.0
worldwide,San Marino,global_warming,0.0
worldwide,Netherlands,global_warming,4.0
worldwide,St Lucia,global_warming,0.0
worldwide,Trinidad & Tobago,global_warming,0.0
worldwide,Tanzania,global_warming,0.0
worldwide,China,global_warming,4.0
worldwide,Grenada,global_warming,0.0
